Timestamp,Identifiant (fourni par vos délégués),Filière d'origine,Commentaires,Le volet X de l'enseignement vous a paru [Topologie],Le volet X de l'enseignement vous a paru [Calcul différentiel],Le volet X de l'enseignement vous a paru [Calcul intégral],Le volet X de l'enseignement vous a paru [Probabilités],Commentaires,Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Topologie],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Calcul différentiel],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Calcul intégral],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Probabilités],Commentaires,La cohérence d'ensemble (l'intégration entre les différents volets) vous a semblé satisfaisante [Votre réponse],Commentaires,Vous avez assisté aux cours magistraux [Fréquence],Commentaires,"En général, vous avez apprécié l'exposé ? [Topologie]","En général, vous avez apprécié l'exposé ? [Calcul différentiel]","En général, vous avez apprécié l'exposé ? [Calcul intégral]","En général, vous avez apprécié l'exposé ? [Probabilités]",Commentaires,Les cours magistraux ont contribué efficacement à votre apprentissage [Topologie],Les cours magistraux ont contribué efficacement à votre apprentissage [Calcul différential],Les cours magistraux ont contribué efficacement à votre apprentissage [Calcul intégral],Les cours magistraux ont contribué efficacement à votre apprentissage [Probabilités],Commentaires,Vous êtes satisfait des travaux dirigés [Votre réponse],Commentaires,Vous avez participé aux tutorats [Pour poser des questions ciblées ],Vous avez participé aux tutorats [Comme un cadre d'études (autonome)],Vous avez participé aux tutorats [Pour obtenir du soutien (encadrement renforcé)],Vous avez participé aux tutorats [Pour aller plus loin (hors-programme)],Vous avez participé aux tutorats [Pour faciliter vos révisions à l'approche de l'examen ],Vous avez participé aux tutorats [Autre usage ?],Commentaires,Vous êtes satisfait des tutorats actuels [Votre réponse],Commentaires,Vous préférez des groupes de tutorats aux objectifs plus précis  [Votre réponse],Commentaires,Le projet numérique vous a semblé utile / pertinent / intéressant  [Votre réponse],Les éléments numériques du cours vous semblent utiles / pertinents / intéressants. [Votre réponse],Commentaires,"L'existence d'un volet ""outil pour les mathématiques"" en informatique est positif. [Votre réponse]",Commentaires,Les modalités de l'évaluation du projet numérique sont appropriées [Votre réponse],Commentaires,"Le sujet de l'examen écrit est cohérent avec les cours, TDs et tutorats [Votre réponse]",Commentaires,Vous identifiez clairement les compétences et savoirs que l'examen écrit et le projet numérique permettent de tester [Votre réponse],Commentaires,"Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Pauline Bernard]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Thomas Romary]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Sébastien Boisgérault]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Emilie Chautru]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Delphine Bresch-Pietri]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Samy Blusseau]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Silviu Niculescu]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Jean-Emmanuel Deschaud]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Chloé-Agathe Azencott]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Martin Brossard]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Matthieu Vigne]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Slawomir Pietrasz]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Nicolas Desassis]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Dilshad Suroop]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Luc Rongieras]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Thierry Parmentelat]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Cyril Joly]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Obi-Wan Kenobi]",Commentaires,"La succession de plusieurs intervenants (amphi, TD, projet, etc.) s'est déroulée de façon satisfaisante [Votre réponse]",Commentaires,Les supports de cours vous ont donné satisfaction [Votre réponse],Commentaires,Vous avez utilisé le site web de l'enseignement  [Pour récupérer les fichiers PDF des cours],"Vous avez utilisé le site web de l'enseignement  [Pour des informations complémentaires (errata, documents en préparation, calendrier, ""etc.)]",Commentaires,Vous avez utilisé le forum discourse pour [Les compléments de cours et/ou les mini-exercices],"Vous avez utilisé le forum discourse pour [Vous tenir au courant de l'organisation (tutorats, rendus projets, etc.)]",Vous avez utilisé le forum discourse pour [Poser des questions],Commentaires,Temps total consacré à l'étude du cours (amphi inclus) [Votre réponse],Commentaires,Temps total consacré aux exercices (TDs inclus) [Votre réponse],Commentaires,Temps total consacré au projet numérique [Votre réponse],Commentaires,Examen écrit et révisions [Votre réponse],Commentaires,Commentaires (global),"Globalement, cet enseignement vous a paru [Votre réponse]",Commentaires
2019/11/08 12:20:07 PM GMT+1,28,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Trop difficile,Trop difficile,Plutôt difficile,Plutôt difficile,,Plutôt oui,Plutôt oui,Tout à fait,Tout à fait,,Plutôt oui,,Régulièrement,,Plutôt oui,Plutôt non,Plutôt non,Plutôt oui,,Plutôt non,Plutôt non,Plutôt non,Plutôt non,,Plutôt oui,,Parfois,Jamais,Souvent,Jamais,Souvent,Souvent,,Plutôt oui,,Plutôt non,,Plutôt oui,Plutôt oui,,Plutôt oui,,Plutôt oui,,Plutôt non,,Plutôt oui,,Tout à fait,Plutôt oui,Plutôt non,,,,,,,,,,,,,,,,,Plutôt oui,,Plutôt oui,,Non,Oui,,Parfois,Souvent,Jamais,,24 h ou plus,,30 h ou plus,,environ 6h,,15 h ou plus,,"Je trouve qu'on nous donne beaucoup d'informations en peu de temps. Les poly étant très denses, on ne sait pas quoi retenir. Parfois, on considère aussi que tout le monde a vu le même programme que les MP*. Tout est un peu noyé aussi milieu de pleins de théorèmes et propriétés.",Plutôt satisfaisant,
2019/11/08 5:37:23 PM GMT+1,66,PC/PC* : classe préparatoire Physique-Chimie,,Plutôt facile,Trop difficile,Plutôt difficile,Plutôt facile,,Plutôt oui,Plutôt non,Tout à fait,Plutôt oui,Calcul intégral nécessaire pour les probas ,"Oui, tout à fait",,Régulièrement,,Plutôt oui,Plutôt non,Plutôt non,"Non, pas du tout","Selon moi, les amphis de probas n'apportaient pas grand chose comparativement à la lecture du poly.
A l'inverse j'ai trouvé que les 3 autres volets étaient abordés en amphi d'une manière peut-être moins académique,  mais plus portée par la construction d'objets mathématiques ayant les propriétés recherchées et nous permettant de résoudre certains de nos problèmes. (Par exemple: ""on aimerait bien que notre intégrale vérifie i)..., ii)..., etc... Comment vérifier ces conditions ?"")
Cependant, un tel angle d'approche, lorsqu'il est ""poussé à l'extrême"" rend le cours difficile à suivre (on utilise des objets dont on a l'intuition sans les définir clairement une fois la phase d'intuition terminée) et il est très dur de se remettre dedans si jamais on perd le fil puisque le cheminement proposé par l'enseignement ne suit pas tout à fait le poly.",Plutôt non,Plutôt non,Plutôt non,Plutôt oui,,Plutôt oui,TD excellents selon moi en calcul diff et calcul intégral. Très utile de revenir sur les théorèmes majeurs du cours traité.,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,,Tout à fait,Plutôt non,"La section sur les méthodes itératives était très intéressante. En revanche toute partie de Calcul Diff II sur la représentation a été certes abordée en amphi, mais pas du tout en TD, ni dans le projet (en tout cas je n'ai pas l'impression que le projet poussait à se poser ce type de questions).","Oui, tout à fait","Cependant il y aurait beaucoup à dire sur l'enseignement de l'UE ""outils mathématiques""",Plutôt non,"Peut-être prévenir du poids du projet avant qu'il ne soit bien avancé, quitte à augmenter son poids dans la note finale.","Oui, tout à fait.",,Plutôt oui,,,Plutôt non,Plutôt oui,,,,,,,,,,,Tout à fait,Plutôt non,,,,Je trouve que Luc Rongieras n'apportait pas grand chose par rapport à la correction du poly. De plus il ne revenait pas en début de cours sur les théorèmes fondamentaux du chapitre traité.,"Oui, tout à fait",,"Oui, tout à fait",,Oui,Non,,Parfois,Tout le temps,Jamais,,environ 12 h,,environ 12 h,,environ 9 h,,environ 9 h,,,Plutôt satisfaisant,"La refonte du programme de maths est quelque chose d'ambitieux et pour une première année, j'ai trouvé que l'ensemble avait une très bonne cohérence !"
2019/11/08 6:27:09 PM GMT+1,1,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Plutôt difficile,Plutôt difficile,Plutôt facile,,Tout à fait,Tout à fait,Tout à fait,Plutôt oui,,Plutôt oui,,Presque jamais,,,,,,,,,,,,Plutôt oui,,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,"Oui, tout à fait",,Plutôt oui,Plutôt non,,Plutôt oui,,Plutôt oui,,Plutôt oui,,Plutôt oui,,,,Tout à fait,Plutôt non,,,,,,,,,,,,Tout à fait,,,,Plutôt oui,,"Oui, tout à fait",,Oui,Non,,Jamais,Parfois,Jamais,,environ 6 h,,environ 18 h,,environ 9 h,,environ 12 h,,"Le projet numérique était assez chronophage. Je trouve dommage que l'analyse soit sur-représentée par rapport à l'algèbre, et j'aurais même bien aimé aborder un peu d'algèbre générale (peut être à mettre en relation avec ce qu'on en fait en informatique), en tutorat peut être ? ",Très satisfaisant,
2019/11/08 6:45:45 PM GMT+1,24,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Plutôt difficile,Plutôt facile,Plutôt facile,,Tout à fait,Tout à fait,Tout à fait,Tout à fait,,"Oui, tout à fait",,Régulièrement,,Plutôt non,Plutôt oui,Plutôt oui,Plutôt oui,"Cependant, il est difficile de traiter l'ensemble d'un poly en 1h30 ce qui impose un travail en autonomie important.",Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,"Selon les enseignants, c'est parfois un rythme soutenu ce qui est très bien et parfois trop lent ce qui crée un retard par rapport aux autres groupes.",Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,,Tout à fait,"Oui, tout à fait","Je trouve que les projets numériques sont un très bon moyen de travailler à la fois les mathématiques et l'informatique, et de plus, rendre le travail sur un notebook, même si cela peut prendre un peu de temps à mettre en forme, est très instructif. J'ai personnellement beaucoup aimé le projet numérique.",Plutôt oui,,Plutôt non,Je trouve que le temps investi dans le projet n'est pas assez récompensé par rapport à son coefficient dans la note.,Plutôt oui,,Plutôt oui,,,,Plutôt oui,,,,Plutôt non,,,,,,,,,,,Tout à fait,,Plutôt oui,,Plutôt oui,"Il serait bien à mon avis de mettre plus en valeur les éléments important du cous sur le poly, cela faciliterait davantage les révisions.",Non,Non,,Jamais,Parfois,Jamais,,environ 12 h,,environ 12 h,,12 h ou plus,,environ 6 h,,"Pour l'examen, c'est pas tant la difficulté le problème mais plutôt la longueur des exercices qui étaient pour moi beaucoup trop long pour seulement 50min/volets.",Plutôt satisfaisant,
2019/11/08 9:29:11 PM GMT+1,11,PC/PC* : classe préparatoire Physique-Chimie,,Plutôt facile,Plutôt facile,Plutôt difficile,Trop facile,,Tout à fait,Tout à fait,Plutôt non,Plutôt oui,,Plutôt oui,,Régulièrement,,Plutôt non,Plutôt non,Plutôt oui,"Non, pas du tout","Les cours apportent trop peu en amphi par rapport aux seuls polys : souvent une simple lecture/recopie de ceux-ci et non traités entier -> décourage d’aller en amphi : ennuyeux et parfois trop lent sur des notions simples/déjà vues ou trop rapides sur des notions nouvelles : il faudrait passer plus de temps des applications/exemples sachant que le cours est écrit, peut-être demander comme travail personnel de travail le cours en amont pour faire plus d’exercices en classe et de réflexion",Pas du tout,Pas du tout,Pas du tout,Pas du tout,Voir supra,Plutôt non,"Perte de temps en début de cours à revoir les points du cours alors qu’on a déjà peu d’horaires de td aussi bien que de cours (notamment à cause du trop gros volume horaire de l’info, également au détriment de la physique -> il faudrait plus d’heures en cours/td et moins en info ou personnel, l’info requiert plus de temps en personnel peut-être d’ailleurs). Ensuite, le traitement d’exercices est assez satisfaisant mais cela varie beaucoup selon les groupes...",Parfois,Parfois,Jamais,Jamais,Jamais,Jamais,"J’aurais aimé approfondir peut-être mais le format tutorat ne me semble pas adapté, les élèves ne savent pas quels sont les points d’approfondissement intéressants et leurs applications...",Plutôt oui,Je n’y ai presque pas participé,"Oui, tout à fait","Organisation en niveau oui mais uniquement pour le tutorat (du soutien au hors-programme) : cela permettait des formats proches de cours ; les td devraient rester mixtes car d’une part les partielles sont les mêmes pour tout le monde à la fin et d’autre part, il est bon d’avoir de l’émulation par les autres en classes sinon, il n’y a pas de challenge",Pas du tout,"Non, pas du tout","Il me semble que dans la vie réelle on se sert de l’informatique et on utilise donc ce qui est déjà programmé : on ne réinvente pas le fil à couper le beurre...( c’est plus le bête esprit prepa là). Par ailleurs, je préfère garder les maths assez séparées de l’info car cela donne des cours de bon niveau ni en info ni en maths...c’est en info qu’on devrait prendre des exemples en maths physique pas l’inverse: cela reste des matières de sciences fondamentales de mon point de vie","Oui, tout à fait","Cette réponse rejoint mon commentaire précédent : on est pas là pour faire de l’info théorique on est en école d’ingé (cela devrait être une option toutefois) . Par ailleurs, il me semblerait plus intéressant d’attaquer directement des sujets passionnants comme le machine learning et la data science en général qui sont des concepts clés de notre époque et ce n’est pas une liste de fonctions pythons anecdotiques qui vont nous aider dans ce sens (on verrait ce dont on a besoin au passage !)",Plutôt oui,"Bien que cela prenne beaucoup de temps, la note d’info ne devrait pas jouer un grand rôle dans l’UE maths",Plutôt oui,"Le seul problème était le format totalement différent à la fois des années précédentes (le contenu aussi...) et des exercices de td. Or nous n’avions pas d’autres entraînements que ce maigre panel d’exercices de polys : il nous faut plus d’entraînement concret et pas juste refaire les exos de td : il fait se casser la tête sur des exos de même format que les examens, sinon il est impossible de réviser efficacement ","Oui, tout à fait",,,,Plutôt oui,,,,,,,,,,,,,,,,Voir mes remarques sur les cours/td,Plutôt oui,,"Oui, tout à fait",,Non,Non,Je ne vois pas l’interêt ,Jamais,Parfois,Jamais,,environ 18 h,,environ 18 h,,environ 3 h,Je n’y ai pas consacré assez de temps mais comme mon binôme n’a rien fait c’était pas facile non plus,environ 6 h,,"Il faudrait plus de cours aux Mines ! Je le dis et je le répète, il y a largement trop d’info au détriment des maths et de la physique : par exemple on a eu au moins deux semaines avec 0h de maths (cours/td confondus...). C’est moins qu’au lycée alors que:
On est habitué aux horaires prepa (au moins 10h par semaine) mais j’ai conscience que l’on doit s’habituer 
Et surtout par rapport aux connaissances apportées (peut-être trop assimiler en trop peu de temps de cours d’un côté/trop peu de cours et donc trop peu de connaissances en absolu",Peu satisfaisant,
2019/11/09 10:28:15 AM GMT+1,38,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Plutôt difficile,Trop difficile,Plutôt difficile,Trop difficile,,Plutôt oui,Plutôt non,Plutôt oui,Plutôt non,,Plutôt non,,Assez souvent,,Plutôt oui,Plutôt non,Plutôt oui,Plutôt non,,Plutôt non,Plutôt non,Plutôt non,Plutôt non,,Plutôt oui,,,,,,,,,,,,,Plutôt oui,Plutôt non,,Plutôt oui,,Plutôt oui,,Plutôt oui,,Plutôt non,,,,Plutôt oui,,,,,,,,,,,,,,,Tout à fait,,Plutôt oui,,"Oui, tout à fait",,Non,Non,,Jamais,Jamais,Parfois,,environ 18 h,,environ 12 h,,environ 9 h,,3h,,,Peu satisfaisant,
2019/11/09 10:36:39 AM GMT+1,7,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Plutôt difficile,Plutôt difficile,Plutôt difficile,Plutôt facile,,Tout à fait,Tout à fait,Tout à fait,Tout à fait,,Plutôt oui,,Assez souvent,,Plutôt non,Plutôt non,Plutôt oui,Plutôt oui,Trop de choses à voir en peu de temps ce qui fait que c'est dur à assimiler ,Plutôt oui,Plutôt non,Plutôt oui,Plutôt oui,,"Oui, tout à fait",,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,Je n'ai jamais partixipe aux tutorats,Plutôt oui,,Plutôt oui,Plutôt non,,Plutôt oui,,Plutôt non,,"Oui, tout à fait.",,Plutôt oui,Pour le projet numérique pas totalement,Plutôt oui,,Plutôt non,,,,,,,,,,,,,,,Tout à fait,,"Oui, tout à fait",,"Oui, tout à fait",Indispensables ,Non,Non,,Jamais,Parfois,Jamais,,environ 12 h,,environ 24 h,,12 h ou plus,,environ 12 h,,Revoir à  la hausse le nombre d'amphis peut être pour mieux saisir les enjeux des chapitres importants ,Très satisfaisant,
2019/11/09 10:38:17 AM GMT+1,116,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Plutôt difficile,Trop difficile,Trop difficile,Plutôt difficile,,Pas du tout,Plutôt oui,Plutôt non,Plutôt oui,,Plutôt oui,,Presque jamais,,,,,,,,,,,,Plutôt oui,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,,Plutôt oui,Plutôt oui,,Plutôt oui,,Plutôt non,Le projet devrait avoir plus de poids dans la notation,Plutôt oui,,Plutôt oui,,,,,,,,,,,,,,,,,,,,,Plutôt oui,,Plutôt oui,,Non,Non,,Jamais,Parfois,Jamais,,environ 12 h,,moins de 12 h,,environ 9 h,,environ 9 h,,,Peu satisfaisant,
2019/11/09 10:43:28 AM GMT+1,37,PT/PT* : classe préparatoire Physique-Technologie,,Trop difficile,Plutôt difficile,Plutôt difficile,Plutôt difficile,,Pas du tout,Plutôt non,Plutôt oui,Tout à fait,Je réponds surtout pour la pertinence vis-à-vis de mon projet de formation à l'école.,"Oui, tout à fait",,Régulièrement,,Plutôt non,Plutôt non,Plutôt oui,Plutôt oui,,Pas du tout,Plutôt non,Plutôt non,Plutôt oui,,Plutôt oui,,Tout le temps,Parfois,Tout le temps,Jamais,Jamais,,,Plutôt oui,,"Oui, tout à fait",,Tout à fait,Plutôt oui,,"Oui, tout à fait",,Plutôt oui,,"Oui, tout à fait.",,"Oui, tout à fait",,,Plutôt oui,Plutôt oui,Tout à fait,,,,,,,,,,,,,,,,Plutôt oui,,"Oui, tout à fait",,Non,Non,,Jamais,Souvent,Jamais,,environ 12 h,,30 h ou plus,,environ 6h,,environ 9 h,,,Peu satisfaisant,Je n'ai pas réussi à m'investir pleinement dans le cours car j'ai eu l'impression que mon niveau n'était pas assez bon pour pouvoir travailler efficacement et comprendre pertinemment le cours.
2019/11/09 10:47:01 AM GMT+1,44,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Trop difficile,Plutôt difficile,Trop difficile,Trop difficile,,Pas du tout,Plutôt oui,Plutôt oui,Pas du tout,,Plutôt oui,,Régulièrement,Je trouve la quantité d’information dans le polycopié de cours beaucoup plus grande que ce que l’on fait en cours et cela me semble inapproprié parce que je ne suis paz capable de comprendre et maîtriser par moi-meme la majorité  des choses qu’on ne fait pas en cours et qui sont exigibles aux examens ,Plutôt oui,Plutôt non,"Non, pas du tout",Plutôt non,,Plutôt oui,Plutôt oui,Pas du tout,Pas du tout,,Plutôt oui,Cependant on fait entre 1 et 2 exos par TD ce qui me semble insuffisant quant au fait qu’on change de chapitre à chaque TD,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,"Non, pas du tout",,Plutôt non,Plutôt oui,,Plutôt oui,,Plutôt oui,,Plutôt non,J’ai trouvé que les exercices de l’examen étaient nettement plus complexes que ceux faits en TD,Plutôt oui,,,,Plutôt non,,,,Plutôt oui,,Tout à fait,,,Plutôt oui,,,,,,Tout à fait,Mon évaluation quant à M. Boisgerault porte exclusivement sur le faite que l’on ne fait en cours magistral qu’une petite partie du cours ce qui ne m’aide pas vraiment à maîtriser la matière ,Plutôt oui,,Plutôt oui,,Non,Non,,Jamais,Parfois,Jamais,,environ 18 h,,environ 12 h,,environ 6h,,environ 12 h,,"Très clairement le temps prévu pour l’enseignement est irréaliste il faudrait nécessairement revoir le périmètre d’enseignement à la baisse.
En effet le contenu des cours et bien plus important que ce qu’on a le temps de voir en amphi et nécessite beaucoup de travail personnel à côté et les TD ne donnent pas la possibilité de couvrir l’ensemble du cours 
Ainsi je m’en retrouve obligée de survoler un peu tout de manière superficielle et je m’en sens frustrée d’être incapable de réellement maîtriser un sujet
Je préfèrerai que le cours soit plus restreint mais complètement expliqué et approfondi",Peu satisfaisant,
